# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
9.0070E-01    2.9220E-03    2.9211E-03    2.9413E-03    2.9493E-03    2.9015E-03
9.0430E-01    2.9103E-03    2.9097E-03    2.9288E-03    2.9368E-03    2.8951E-03
9.0792E-01    2.9090E-03    2.9081E-03    2.9247E-03    2.9321E-03    2.8926E-03
9.1155E-01    2.9031E-03    2.9020E-03    2.9156E-03    2.9222E-03    2.8875E-03
9.1519E-01    2.9018E-03    2.9004E-03    2.9114E-03    2.9171E-03    2.8847E-03
9.1885E-01    2.8950E-03    2.8938E-03    2.9031E-03    2.9081E-03    2.8800E-03
9.2253E-01    2.8965E-03    2.8952E-03    2.9048E-03    2.9101E-03    2.8809E-03
9.2622E-01    2.8959E-03    2.8943E-03    2.9002E-03    2.9029E-03    2.8765E-03
9.2992E-01    2.8997E-03    2.8979E-03    2.9020E-03    2.9030E-03    2.8762E-03
9.3364E-01    2.9075E-03    2.9054E-03    2.9099E-03    2.9104E-03    2.8797E-03
9.3737E-01    2.9036E-03    2.9015E-03    2.9051E-03    2.9052E-03    2.8771E-03
9.4112E-01    2.9006E-03    2.8987E-03    2.9024E-03    2.9029E-03    2.8759E-03
9.4488E-01    2.9028E-03    2.9008E-03    2.9051E-03    2.9060E-03    2.8777E-03
9.4866E-01    2.9038E-03    2.9018E-03    2.9064E-03    2.9075E-03    2.8785E-03
9.5245E-01    2.9019E-03    2.9002E-03    2.9071E-03    2.9098E-03    2.8801E-03
9.5626E-01    2.9018E-03    2.9000E-03    2.9065E-03    2.9093E-03    2.8800E-03
9.6009E-01    2.9046E-03    2.9028E-03    2.9105E-03    2.9139E-03    2.8826E-03
9.6393E-01    2.9042E-03    2.9029E-03    2.9147E-03    2.9203E-03    2.8863E-03
9.6778E-01    2.9005E-03    2.8995E-03    2.9125E-03    2.9190E-03    2.8859E-03
9.7165E-01    2.9058E-03    2.9051E-03    2.9212E-03    2.9284E-03    2.8907E-03
9.7554E-01    2.9081E-03    2.9073E-03    2.9240E-03    2.9314E-03    2.8923E-03
9.7944E-01    2.9089E-03    2.9084E-03    2.9271E-03    2.9350E-03    2.8942E-03
9.8335E-01    2.9083E-03    2.9077E-03    2.9258E-03    2.9333E-03    2.8933E-03
9.8729E-01    2.9104E-03    2.9099E-03    2.9290E-03    2.9368E-03    2.8951E-03
9.9123E-01    2.9102E-03    2.9099E-03    2.9295E-03    2.9374E-03    2.8954E-03
9.9520E-01    2.9124E-03    2.9122E-03    2.9326E-03    2.9406E-03    2.8971E-03
9.9918E-01    2.9160E-03    2.9156E-03    2.9362E-03    2.9442E-03    2.8989E-03
1.0032E+00    2.9130E-03    2.9127E-03    2.9329E-03    2.9408E-03    2.8971E-03
1.0072E+00    2.9100E-03    2.9098E-03    2.9298E-03    2.9376E-03    2.8955E-03
1.0112E+00    2.9097E-03    2.9095E-03    2.9293E-03    2.9371E-03    2.8952E-03
1.0153E+00    2.9091E-03    2.9089E-03    2.9291E-03    2.9371E-03    2.8952E-03
1.0193E+00    2.9012E-03    2.9013E-03    2.9208E-03    2.9287E-03    2.8910E-03
1.0234E+00    2.9032E-03    2.9033E-03    2.9236E-03    2.9319E-03    2.8927E-03
1.0275E+00    2.8957E-03    2.8960E-03    2.9153E-03    2.9234E-03    2.8883E-03
1.0316E+00    2.8918E-03    2.8923E-03    2.9119E-03    2.9202E-03    2.8867E-03
1.0357E+00    2.8824E-03    2.8829E-03    2.9002E-03    2.9081E-03    2.8805E-03
1.0399E+00    2.8773E-03    2.8780E-03    2.8952E-03    2.9034E-03    2.8781E-03
1.0440E+00    2.8702E-03    2.8708E-03    2.8861E-03    2.8940E-03    2.8731E-03
